input noise; V / sqrt(Hz) X,input noise; V / sqrt(Hz) Y
1,1.484772082780995e-06
1.258925411794167,1.306436048479293e-06
1.584893192461114,1.152024901017374e-06
1.99526231496888,1.017730976791141e-06
2.511886431509581,9.004892199096471e-07
3.16227766016838,7.978093547788296e-07
3.981071705534974,7.076485642428663e-07
5.011872336272725,6.283149824850224e-07
6.309573444801935,5.583944564417728e-07
7.943282347242818,4.966947831601936e-07
10.00000000000001,4.422030284179643e-07
12.58925411794168,3.940526225809841e-07
15.84893192461115,3.514977657769512e-07
19.95262314968881,3.138933063358862e-07
25.11886431509582,2.806787285847024e-07
31.62277660168382,2.513652358541498e-07
39.81071705534977,2.255251723414371e-07
50.11872336272729,2.027832175281685e-07
63.0957344480194,1.828089284482264e-07
79.43282347242825,1.653103135742369e-07
100.0000000000001,1.500282095851179e-07
125.8925411794169,1.367313079282621e-07
158.4893192461116,1.252117475790865e-07
199.5262314968883,1.152812546859928e-07
251.1886431509584,1.067678630852304e-07
316.2277660168385,9.951327908885957e-08
398.107170553498,9.337094611750475e-08
501.1872336272732,8.820481748664773e-08
630.9573444801945,8.388877136363129e-08
794.3282347242831,8.03065217266377e-08
1000.000000000002,7.735181855479747e-08
1258.92541179417,7.492871179721793e-08
1584.893192461117,7.295168346844743e-08
1995.262314968884,7.134551678882916e-08
2511.886431509586,7.004484529683298e-08
3162.277660168386,6.899338441162196e-08
3981.071705534981,6.814287889136065e-08
5011.872336272734,6.745179855076021e-08
6309.573444801948,6.688378462577631e-08
7943.282347242834,6.640579519679546e-08
10000.00000000003,6.59858241795373e-08
12589.25411794171,6.558997979192687e-08
15848.93192461118,6.517862104206428e-08
19952.62314968885,6.470121498896197e-08
25118.86431509587,6.40897267265439e-08
31622.77660168388,6.325098345262544e-08
39810.71705534984,6.206007719763743e-08
50118.72336272738,6.03599998355777e-08
63095.73444801952,5.797672468483139e-08
79432.82347242841,5.47596774666282e-08
100000,5.064640697738169e-08
