PSRR X,PSRR Y
0.1,-48.53458103424395
0.1659586907437561,-47.330593668106
0.2754228703338167,-46.79260307285059
0.4570881896148751,-46.57914953624227
0.7585775750291839,-46.49890574195135
1.258925411794168,-46.46932690377719
2.08929613085404,-46.45835186590731
3.467368504525318,-46.45385090423984
5.754399373371571,-46.45081307209956
9.549925860214364,-46.44584946554719
15.84893192461114,-46.43343689132874
26.30267991895383,-46.39987509171284
43.65158322401662,-46.30891494344627
72.44359600749904,-46.06787015863374
120.2264434617413,-45.46583178821076
199.526231496888,-44.14167303735261
331.1311214825913,-41.77721675447638
549.5408738576248,-38.44169955525522
912.0108393559101,-34.50825141188245
1513.561248436209,-30.30485358210671
2511.886431509581,-26.01733642129202
4168.693834703356,-21.76435887694782
6918.309709189368,-17.6949577480733
11481.53621496883,-14.08689611857446
19054.60717963248,-11.37154397205523
31622.77660168381,-9.912434049009953
52480.74602497728,-9.787725967364413
87096.35899560811,-11.00563104188661
144543.9770745928,-13.56918177175222
239883.2919019492,-17.25905502171768
398107.1705534975,-21.83137738151874
660693.4480075964,-27.31483382196399
1096478.196143186,-33.83483643065716
1819700.858609985,-41.16369410595455
3019951.720402018,-48.53297817298739
5011872.336272726,-54.12907934418351
8317637.711026715,-56.73049298655247
13803842.64602886,-58.0457946397317
22908676.52767774,-58.90193960285562
38018939.63205615,-59.36078831892743
63095734.44801937,-59.5606800709392
104712854.80509,-59.63879150301171
173780082.8749377,-59.6679516757718
288403150.3126608,-59.67864819283152
478630092.3226386,-59.6825464283781
794328234.724282,-59.68396372106641
1318256738.556408,-59.68447856364536
2187761623.949554,-59.68466552528477
3630780547.701016,-59.68473341138311
6025595860.743582,-59.68475805991966
10000000000,-59.68476700933937
